year,pos,nltk_freq,spacy_freq,abs_diff
1977,PART,0.0,0.0370913190529876,0.0370913190529876
1977,PUNCT,0.0,0.0,0.0
1977,ADP,0.09274381707886141,0.09363021420518602,0.0008863971263246145
1977,ADV,0.06392907139524032,0.05270574971815107,0.011223321677089247
1977,PRON,0.15626458236117594,0.18342728297632468,0.02716270061514875
1977,SCONJ,0.0,0.019616685456595263,0.019616685456595263
1977,INTJ,0.0,0.017531003382187146,0.017531003382187146
1977,CCONJ,0.0,0.026606538895152198,0.026606538895152198
1977,ADJ,0.055704619692020535,0.0520293122886133,0.003675307403407234
1977,CONJ,0.027356509566028933,0.0,0.027356509566028933
1978,VERB,0.22087151673835795,0.1779218440482622,0.04294967269009575
1978,SYM,0.0,0.0,0.0
1978,X,0.0017299420235646157,4.502070952638214e-05,0.0016849213140382336
